what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1364578732854
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1364578732869
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.4.v201106210700,"org.eclipse.wst.common.emfworkbench.integration",1364578732878
started,bundle,org.eclipse.wst.common.frameworks,1.2.1.v201107271600,"org.eclipse.wst.common.frameworks",1364578732886
started,bundle,org.eclipse.wst.common.modulecore,1.2.7.v201110060300,"org.eclipse.wst.common.modulecore",1364578732897
started,bundle,org.eclipse.wst.validation,1.2.204.v201109220700,"org.eclipse.wst.validation",1364578732904
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1364578732912
started,bundle,org.eclipse.wst.xml.core,1.1.505.v201109271810,"org.eclipse.wst.xml.core",1364578732951
started,bundle,com.python.pydev.analysis,2.7.3.2013031601,"com.python.pydev.analysis",1364578732979
started,bundle,org.python.pydev,2.7.3.2013031601,"org.python.pydev",1364578732992
started,bundle,org.python.pydev.core,2.7.3.2013031601,"org.python.pydev.core",1364578733004
started,bundle,org.python.pydev.parser,2.7.3.2013031601,"org.python.pydev.parser",1364578733020
started,bundle,org.python.pydev.shared_core,2.7.3.2013031601,"org.python.pydev.shared_core",1364578733024
started,bundle,org.python.pydev.shared_ui,2.7.3.2013031601,"org.python.pydev.shared_ui",1364578733029
os,sysinfo,,,"macosx",1364578733034
arch,sysinfo,,,"x86_64",1364578733034
ws,sysinfo,,,"cocoa",1364578733034
locale,sysinfo,,,"en_US",1364578733034
processors,sysinfo,,,"4",1364578733034
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1364578733034
java.runtime.version,sysinfo,,,"1.6.0_35-b10-428-11M3811",1364578733034
java.specification.name,sysinfo,,,"Java Platform API Specification",1364578733034
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1364578733034
java.specification.version,sysinfo,,,"1.6",1364578733034
java.vendor,sysinfo,,,"Apple Inc.",1364578733034
java.version,sysinfo,,,"1.6.0_35",1364578733034
java.vm.info,sysinfo,,,"mixed mode",1364578733034
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1364578733034
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1364578733034
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1364578733034
java.vm.specification.version,sysinfo,,,"1.0",1364578733034
java.vm.vendor,sysinfo,,,"Apple Inc.",1364578733034
java.vm.version,sysinfo,,,"20.10-b01-428",1364578733034
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364578754190
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364578755895
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364578756010
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364578775321
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364578776945
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364578777035
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1364578780317
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1364578780660
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1364578780672
started,bundle,org.eclipse.jst.servlet.ui,1.1.406.v201109140400,"org.eclipse.jst.servlet.ui",1364578780885
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364578784483
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364578801552
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364578801602
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1364578808885
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364578817016
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364578817082
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364578843208
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364578853343
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364578858280
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364578878138
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364578878574
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364579517821
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1364579532661
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364579538271
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364579538343
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364579541448
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364579547952
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364579549947
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364579550217
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364579554009
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364579558766
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364579562831
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364579563078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364579571914
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1364579594167
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1364579596179
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364579600859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364579618339
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364579618582
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364579618628
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364579621630
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364579745439
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364579820725
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1364579842006
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1364579842121
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1364579842676
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364579844627
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364579845692
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1364579848358
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364579849106
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1364579851759
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1364579924640
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1364579924643
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1364579924740
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.2.v201103270854,"org.eclipse.jst.ws.jaxws.ui",1364579924819
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1364579924864
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1364579925394
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1364579929550
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1364579932732
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1364579933580
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1364579934290
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1364579958426
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364579959633
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364579975482
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364579975545
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1364579989055
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1364579989098
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1364579989147
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1364579990797
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1364579996216
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1364579997617
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1364580002118
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1364580004255
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1364580005834
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364580009536
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364580010889
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1364580013695
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364580014902
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1364580018605
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1364580043308
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1364580044843
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1364580048685
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1364580050187
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1364580051756
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1364580052300
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1364580057608
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1364580061045
